SARAMPO e RUBÉOLA - Casos notificados no Sistema de Informação de Agravos de Notificação - Santa Catarina
casos notificados por Município de residência e Mês de início do exantema
Período:2018-2025
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - SC";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420005 ABDON BATISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420010 ABELARDO LUZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420020 AGROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420030 AGRONOMICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420040 AGUA DOCE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420050 AGUAS DE CHAPECO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420055 AGUAS FRIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420060 AGUAS MORNAS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420070 ALFREDO WAGNER";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420075 ALTO BELA VISTA";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420080 ANCHIETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420090 ANGELINA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"420100 ANITA GARIBALDI";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420110 ANITAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420120 ANTONIO CARLOS";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"420125 APIUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420127 ARABUTA";-;-;-;-;-;-;-;-;1;-;1;1;-;3
"420130 ARAQUARI";1;-;-;-;-;-;-;-;-;1;-;4;-;6
"420140 ARARANGUA";-;-;-;-;1;1;-;1;-;-;-;1;1;5
"420150 ARMAZEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420160 ARROIO TRINTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420165 ARVOREDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420170 ASCURRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420180 ATALANTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420190 AURORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420195 BALNEARIO ARROIO DO SILVA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420200 BALNEARIO CAMBORIU";-;2;4;10;4;1;1;3;6;8;3;3;1;46
"420205 BALNEARIO BARRA DO SUL";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420209 BARRA BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420210 BARRA VELHA";-;-;-;-;-;-;-;2;6;-;1;-;-;9
"420213 BELA VISTA DO TOLDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420215 BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420220 BENEDITO NOVO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"420230 BIGUACU";-;-;1;1;-;1;1;-;1;1;2;1;1;10
"420240 BLUMENAU";-;1;1;2;1;3;-;-;-;-;-;1;1;10
"420243 BOCAINA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420245 BOMBINHAS";-;1;-;8;3;-;1;-;-;1;1;1;-;16
"420250 BOM JARDIM DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420253 BOM JESUS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420257 BOM JESUS DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420260 BOM RETIRO";-;-;-;-;-;-;-;-;3;1;-;-;-;4
"420270 BOTUVERA";-;1;-;1;1;-;-;-;1;-;-;-;-;4
"420280 BRACO DO NORTE";-;1;-;2;-;1;3;2;-;1;2;1;1;14
"420285 BRACO DO TROMBUDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420287 BRUNOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420290 BRUSQUE";-;-;2;4;1;3;-;-;2;8;1;2;2;25
"420300 CACADOR";-;-;-;-;-;-;1;3;1;-;2;6;4;17
"420310 CAIBI";-;-;-;-;2;-;-;-;-;-;1;1;-;4
"420315 CALMON";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420320 CAMBORIU";-;-;-;4;-;1;1;2;4;2;1;1;1;17
"420325 CAPAO ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420330 CAMPO ALEGRE";-;-;1;-;-;-;-;-;1;-;-;4;-;6
"420340 CAMPO BELO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420350 CAMPO ERE";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420360 CAMPOS NOVOS";-;-;1;1;-;1;-;-;3;-;-;2;-;8
"420370 CANELINHA";-;1;1;-;1;-;-;1;-;2;-;1;-;7
"420380 CANOINHAS";-;2;1;-;-;-;-;-;-;1;1;12;3;20
"420390 CAPINZAL";-;1;-;-;-;1;-;1;-;-;-;-;1;4
"420395 CAPIVARI DE BAIXO";-;-;-;-;-;1;-;-;4;-;1;-;-;6
"420400 CATANDUVAS";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"420410 CAXAMBU DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420415 CELSO RAMOS";-;-;-;1;1;-;-;-;2;-;-;-;-;4
"420417 CERRO NEGRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420419 CHAPADAO DO LAGEADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420420 CHAPECO";-;-;1;1;-;-;-;1;1;1;-;1;-;6
"420425 COCAL DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420430 CONCORDIA";-;1;-;-;-;-;-;1;-;2;14;10;-;28
"420435 CORDILHEIRA ALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420440 CORONEL FREITAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420445 CORONEL MARTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420450 CORUPA";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"420455 CORREIA PINTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420460 CRICIUMA";-;3;-;2;3;-;3;5;5;3;3;1;1;29
"420470 CUNHA PORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420475 CUNHATAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420480 CURITIBANOS";-;-;1;1;-;-;-;-;-;1;-;-;-;3
"420490 DESCANSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420500 DIONISIO CERQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420510 DONA EMMA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420515 DOUTOR PEDRINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420517 ENTRE RIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420519 ERMO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420520 ERVAL VELHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420530 FAXINAL DOS GUEDES";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420540 FLORIANOPOLIS";5;18;95;51;17;17;14;29;57;48;45;35;22;453
"420543 FORMOSA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420545 FORQUILHINHA";-;-;-;1;1;2;1;2;2;1;1;2;-;13
"420550 FRAIBURGO";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"420555 FREI ROGERIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420560 GALVAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420570 GAROPABA";-;1;-;-;-;-;-;-;1;-;4;1;-;7
"420580 GARUVA";-;-;-;1;-;-;-;-;1;-;-;-;-;2
"420590 GASPAR";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"420600 GOVERNADOR CELSO RAMOS";-;-;1;-;-;-;-;-;-;1;2;-;-;4
"420610 GRAO-PARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420620 GRAVATAL";-;-;-;1;1;-;3;-;-;-;-;-;-;5
"420630 GUABIRUBA";-;-;-;-;-;-;-;-;-;1;1;-;1;3
"420640 GUARACIABA";-;-;-;1;2;-;-;-;-;-;-;-;-;3
"420650 GUARAMIRIM";-;3;1;-;3;3;-;-;2;-;1;13;2;28
"420660 GUARUJA DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420665 GUATAMBU";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420670 HERVAL D'OESTE";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"420675 IBIAM";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420680 IBICARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420690 IBIRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420700 ICARA";-;1;-;-;-;-;-;1;4;-;-;-;-;6
"420710 ILHOTA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420720 IMARUI";-;-;-;-;-;-;-;-;-;1;-;-;1;2
"420730 IMBITUBA";-;-;-;1;-;1;1;3;-;3;1;1;-;11
"420740 IMBUIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420750 INDAIAL";-;1;-;1;-;-;1;-;1;-;-;1;-;5
"420757 IOMERE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420760 IPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420765 IPORA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420768 IPUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420770 IPUMIRIM";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"420775 IRACEMINHA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420780 IRANI";-;-;-;-;-;-;-;-;-;-;-;2;1;3
"420785 IRATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420790 IRINEOPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"420800 ITA";-;2;-;-;-;-;-;-;-;-;-;-;1;3
"420810 ITAIOPOLIS";-;-;1;-;-;2;2;2;1;-;1;2;-;11
"420820 ITAJAI";-;1;1;2;5;4;9;13;3;3;5;5;4;55
"420830 ITAPEMA";-;-;-;-;1;1;-;-;-;1;-;-;1;4
"420840 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420845 ITAPOA";-;-;-;-;-;-;-;-;-;-;-;4;1;5
"420850 ITUPORANGA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420860 JABORA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420870 JACINTO MACHADO";-;-;-;-;-;-;-;1;-;2;-;-;-;3
"420880 JAGUARUNA";-;1;-;-;-;1;-;-;1;4;2;1;-;10
"420890 JARAGUA DO SUL";-;7;1;1;1;4;-;2;2;4;6;27;2;57
"420895 JARDINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420900 JOACABA";-;1;-;-;1;-;-;-;-;1;-;-;-;3
"420910 JOINVILLE";-;15;12;5;3;1;2;1;-;2;30;168;56;295
"420915 JOSE BOITEUX";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420917 JUPIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420920 LACERDOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420930 LAGES";-;-;-;1;-;2;-;2;-;2;1;1;-;9
"420940 LAGUNA";1;3;-;1;-;-;-;-;1;5;2;2;-;15
"420945 LAJEADO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420950 LAURENTINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420960 LAURO MULLER";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"420970 LEBON REGIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420980 LEOBERTO LEAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420985 LINDOIA DO SUL";-;-;-;1;-;-;-;-;-;-;-;2;1;4
"420990 LONTRAS";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"421000 LUIZ ALVES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421003 LUZERNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421005 MACIEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421010 MAFRA";-;-;1;2;1;-;3;2;-;5;7;3;-;24
"421020 MAJOR GERCINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421030 MAJOR VIEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421040 MARACAJA";-;-;-;-;1;-;-;-;-;-;1;-;-;2
"421050 MARAVILHA";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"421055 MAREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421060 MASSARANDUBA";-;-;1;-;-;-;-;1;2;3;1;3;1;12
"421070 MATOS COSTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421080 MELEIRO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421085 MIRIM DOCE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421090 MODELO";-;-;-;1;-;-;-;1;-;-;-;2;-;4
"421100 MONDAI";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"421105 MONTE CARLO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421110 MONTE CASTELO";-;-;1;-;2;1;-;-;3;-;1;2;2;12
"421120 MORRO DA FUMACA";-;-;1;-;1;-;-;-;1;1;-;-;-;4
"421125 MORRO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421130 NAVEGANTES";-;-;1;1;1;-;-;3;-;1;2;1;-;10
"421140 NOVA ERECHIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421145 NOVA ITABERABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421150 NOVA TRENTO";-;1;-;-;-;3;-;1;-;-;-;-;2;7
"421160 NOVA VENEZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421165 NOVO HORIZONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421170 ORLEANS";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"421175 OTACILIO COSTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421180 OURO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421185 OURO VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421187 PAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421189 PAINEL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421190 PALHOCA";1;1;6;3;1;1;1;-;2;6;14;1;5;42
"421200 PALMA SOLA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421205 PALMEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421210 PALMITOS";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421220 PAPANDUVA";-;-;1;1;1;-;1;-;1;-;-;7;-;12
"421223 PARAISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421225 PASSO DE TORRES";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"421227 PASSOS MAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421230 PAULO LOPES";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"421240 PEDRAS GRANDES";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421250 PENHA";-;-;-;1;1;-;-;-;-;3;2;-;-;7
"421260 PERITIBA";-;-;-;-;-;-;-;-;-;-;-;4;-;4
"421265 PESCARIA BRAVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421270 PETROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421280 BALNEARIO PICARRAS";-;1;-;2;1;-;-;-;2;-;-;3;-;9
